pnr,alder,koen,civ,uddannelse,indkomst,gen_indkomst,forskel_indkomst,uddannelse_alder
1000145,52,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,406815.40625,292662.22918171337,114153.17706828663,20
1000170,57,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,445786.71875,297215.19019605126,148571.52855394874,16
1001236,56,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,399404.375,292662.22918171337,106742.14581828663,20
1002053,33,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,358220.3125,292662.22918171337,65558.08331828663,20
1002264,37,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,137051.828125,292662.22918171337,-155610.40105671337,20
1003195,35,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,380696.625,297215.19019605126,83481.43480394874,16
1004825,49,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,388453.28125,292662.22918171337,95791.05206828663,20
1005018,28,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,137202.03125,292662.22918171337,-155460.19793171337,25
1006324,31,Male,Married,Lange videregående uddannelser,329068.59375,277715.8863705276,51352.707379472384,25
1007395,62,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,353457.71875,292662.22918171337,60795.48956828663,20
1009758,60,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,137046.015625,297215.19019605126,-160169.17457105126,16
1010154,62,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,346354.5625,292662.22918171337,53692.33331828663,20
1011204,39,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136796.3125,292662.22918171337,-155865.91668171337,20
1011424,39,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,385621.5,292662.22918171337,92959.27081828663,25
1012725,33,Male,Unmarried,Lange videregående uddannelser,314687.4375,277715.8863705276,36971.551129472384,24
1013471,33,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,337025.9375,292662.22918171337,44363.70831828663,25
1016307,47,Male,Married,Lange videregående uddannelser,136148.96875,277715.8863705276,-141566.91762052762,25
1016681,58,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,321990.03125,297215.19019605126,24774.841053948738,16
1017616,22,Male,Married,Lange videregående uddannelser,191934.21875,277715.8863705276,-85781.66762052762,24
1019126,28,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136637.609375,292662.22918171337,-156024.61980671337,20
1019573,50,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,408860.5,292662.22918171337,116198.27081828663,20
1021487,33,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,309037.5625,297215.19019605126,11822.372303948738,16
1022834,34,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136748.703125,292662.22918171337,-155913.52605671337,20
1023185,22,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,216039.53125,292662.22918171337,-76622.69793171337,20
1024735,32,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,330217.15625,292662.22918171337,37554.92706828663,20
1025281,54,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,360474.25,292662.22918171337,67812.02081828663,25
1026834,55,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,383663.90625,292662.22918171337,91001.67706828663,20
1028525,61,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,341148.3125,292662.22918171337,48486.08331828663,20
1028824,52,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,348822.5625,297215.19019605126,51607.37230394874,16
1029635,44,Male,Married,Mellemlange videregående uddannelser / Bachelorer,448012.5,303672.3042750847,144340.1957249153,25
1029650,58,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,137340.296875,297215.19019605126,-159874.89332105126,16
1029710,63,Male,Married,Lange videregående uddannelser,136373.859375,277715.8863705276,-141342.02699552762,26
1029755,38,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,397681.03125,292662.22918171337,105018.80206828663,25
1030442,25,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,223521.40625,292662.22918171337,-69140.82293171337,20
1031719,62,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,304165.15625,292662.22918171337,11502.927068286634,20
1032170,36,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,317294.0625,297215.19019605126,20078.872303948738,16
1033825,38,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,394237.125,292662.22918171337,101574.89581828663,20
1036169,27,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,181575.15625,292662.22918171337,-111087.07293171337,21
1036549,34,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,359154.15625,292662.22918171337,66491.92706828663,20
1037041,46,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,137341.4375,292662.22918171337,-155320.79168171337,21
1037503,27,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136816.203125,292662.22918171337,-155846.02605671337,20
1039523,44,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,137261.46875,292662.22918171337,-155400.76043171337,20
1040433,52,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,388684.53125,292662.22918171337,96022.30206828663,20
1041536,47,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,423362.34375,297215.19019605126,126147.15355394874,16
1044441,47,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,444515.34375,292662.22918171337,151853.11456828663,21
1044706,52,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,374214.5625,292662.22918171337,81552.33331828663,20
1044776,50,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,341659,292662.22918171337,48996.77081828663,20
1046318,53,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,388700.65625,292662.22918171337,96038.42706828663,20
1047315,43,Male,Unmarried,Lange videregående uddannelser,136220.1875,277715.8863705276,-141495.69887052762,26
1047987,27,Male,Married,Lange videregående uddannelser,219828.53125,277715.8863705276,-57887.355120527616,25
1048953,56,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,460200.28125,292662.22918171337,167538.05206828663,20
1049998,52,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,391024.59375,297215.19019605126,93809.40355394874,16
1051308,41,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,396699.5625,292662.22918171337,104037.33331828663,20
1052490,24,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,136823.546875,292662.22918171337,-155838.68230671337,20
1054384,50,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,395336.03125,292662.22918171337,102673.80206828663,20
1054484,50,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,427127.8125,292662.22918171337,134465.58331828663,20
1054581,42,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,136312.0625,297215.19019605126,-160903.12769605126,16
1055495,61,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,254598.984375,292662.22918171337,-38063.24480671337,20
1056904,59,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,372467.9375,292662.22918171337,79805.70831828663,25
1056938,39,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,136913.34375,292662.22918171337,-155748.88543171337,20
1057059,53,Male,Married,Lange videregående uddannelser,430885.0625,277715.8863705276,153169.17612947238,25
1058765,26,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,176751,292662.22918171337,-115911.22918171337,27
1059808,28,Male,Unmarried,Lange videregående uddannelser,136867.96875,277715.8863705276,-140847.91762052762,24
1060290,40,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,403883.15625,292662.22918171337,111220.92706828663,20
1061251,58,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136543.3125,292662.22918171337,-156118.91668171337,20
1061264,50,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,435236.84375,297215.19019605126,138021.65355394874,16
1062850,26,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,211335.640625,292662.22918171337,-81326.58855671337,20
1065005,58,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,396159.46875,297215.19019605126,98944.27855394874,16
1066354,64,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,385201.09375,297215.19019605126,87985.90355394874,16
1068007,25,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,210739.046875,292662.22918171337,-81923.18230671337,20
1069060,41,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,426042.8125,292662.22918171337,133380.58331828663,20
1069131,54,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,137294.921875,297215.19019605126,-159920.26832105126,16
1069306,25,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,189671.546875,297215.19019605126,-107543.64332105126,16
1070852,64,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,350258.21875,297215.19019605126,53043.02855394874,16
1077235,27,Male,Unmarried,Lange videregående uddannelser,192122.53125,277715.8863705276,-85593.35512052762,25
1078921,37,Male,Married,Lange videregående uddannelser,373977.90625,277715.8863705276,96262.01987947238,24
1080183,64,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,322400.5,292662.22918171337,29738.270818286634,20
1080644,54,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,377419.5625,292662.22918171337,84757.33331828663,25
1081315,33,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,312801.40625,297215.19019605126,15586.216053948738,16
1082000,41,Male,Married,Lange videregående uddannelser,373062,277715.8863705276,95346.11362947238,24
1084585,18,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,194356.78125,297215.19019605126,-102858.40894605126,16
1086222,46,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,443531.46875,292662.22918171337,150869.23956828663,20
1086798,25,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,136159.328125,292662.22918171337,-156502.90105671337,20
1086980,48,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,464716.1875,292662.22918171337,172053.95831828663,20
1087108,55,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,422009.65625,292662.22918171337,129347.42706828663,20
1089282,33,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136448.890625,292662.22918171337,-156213.33855671337,25
1089764,30,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,136056.5625,292662.22918171337,-156605.66668171337,20
1090563,62,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,342188.21875,297215.19019605126,44973.02855394874,16
1093745,40,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,374247.25,292662.22918171337,81585.02081828663,24
1093866,37,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,361477.84375,292662.22918171337,68815.61456828663,20
1094491,55,Male,Unmarried,Grundskole 7.-10. klasse / Forberedende uddannelser,335476.90625,297215.19019605126,38261.71605394874,16
1095924,44,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,372056.46875,292662.22918171337,79394.23956828663,20
1096351,46,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,451319.15625,292662.22918171337,158656.92706828663,20
1098015,56,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,445997.6875,292662.22918171337,153335.45831828663,20
1098797,28,Male,Married,Lange videregående uddannelser,137264.875,277715.8863705276,-140451.01137052762,25
1099561,52,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,411682.21875,292662.22918171337,119019.98956828663,20
1102263,42,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,136544.9375,292662.22918171337,-156117.29168171337,20
1103128,40,Male,Unmarried,Lange videregående uddannelser,376418.15625,277715.8863705276,98702.26987947238,25
1103975,24,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,217381.96875,292662.22918171337,-75280.26043171337,25
1104104,38,Male,Married,Lange videregående uddannelser,313659.625,277715.8863705276,35943.738629472384,24
1104160,47,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,135961.703125,292662.22918171337,-156700.52605671337,20
1105751,40,Male,Married,Mellemlange videregående uddannelser / Bachelorer,452712.53125,303672.3042750847,149040.2269749153,23
1105981,43,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,137145.640625,297215.19019605126,-160069.54957105126,16
1106840,29,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,180101.15625,292662.22918171337,-112561.07293171337,25
1107070,42,Male,Married,Gymnasiale og erhvervsfaglige uddannelser,389210.90625,292662.22918171337,96548.67706828663,20
1107300,61,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,315409.875,292662.22918171337,22747.645818286634,20
1107370,44,Male,Unmarried,Lange videregående uddannelser,365339.375,277715.8863705276,87623.48862947238,25
1108597,65,Male,Unmarried,Gymnasiale og erhvervsfaglige uddannelser,137293.46875,292662.22918171337,-155368.76043171337,20
1109660,30,Male,Unmarried,Lange videregående uddannelser,332361.5,277715.8863705276,54645.613629472384,26
1109891,36,Male,Married,Lange videregående uddannelser,350407.5,277715.8863705276,72691.61362947238,25
1109939,59,Male,Married,Grundskole 7.-10. klasse / Forberedende uddannelser,381213.4375,297215.19019605126,83998.24730394874,16
